72,W 52 St & 11 Ave,39
79,Franklin St & W Broadway,33
82,St James Pl & Pearl St,27
83,Atlantic Ave & Fort Greene Pl,62
119,Park Ave & St Edwards St,19
120,Lexington Ave & Classon Ave,19
127,Barrow St & Hudson St,31
128,MacDougal St & Prince St,30
143,Clinton St & Joralemon St,24
144,Nassau St & Navy St,19
146,Hudson St & Reade St,39
150,E 2 St & Avenue C,29
151,Cleveland Pl & Spring St,33
157,Henry St & Atlantic Ave,23
161,LaGuardia Pl & W 3 St,35
164,E 47 St & 2 Ave,47
167,E 39 St & 3 Ave,45
168,W 18 St & 6 Ave,47
173,Broadway & W 49 St,51
174,E 25 St & 1 Ave,30
195,Liberty St & Broadway,45
212,W 16 St & The High Line,28
216,Columbia Heights & Cranberry St,23
217,Old Fulton St,39
223,W 13 St & 7 Ave,33
228,E 48 St & 3 Ave,55
229,Great Jones St,23
232,Cadman Plaza E & Tillary St,23
236,St Marks Pl & 2 Ave,39
237,E 11 St & 2 Ave,39
238,Bank St & Washington St,31
239,Willoughby St & Fleet St,31
241,DeKalb Ave & S Portland Ave,23
242,Carlton Ave & Flushing Ave,23
243,Fulton St & Rockwell Pl,31
244,Willoughby Ave & Hall St,31
245,Myrtle Ave & St Edwards St,23
247,Perry St & Bleecker St,20
248,Laight St & Hudson St,23
249,Harrison St & Hudson St,27
251,Mott St & Prince St,27
252,MacDougal St & Washington Sq,33
254,W 11 St & 6 Ave,31
257,Lispenard St & Broadway,39
258,DeKalb Ave & Vanderbilt Ave,23
259,South St & Whitehall St,39
260,Broad St & Bridge St,35
261,Johnson St & Gold St,27
262,Washington Park,24
264,Maiden Ln & Pearl St,27
265,Stanton St & Chrystie St,35
266,Avenue D & E 8 St,24
267,Broadway & W 36 St,57
268,Howard St & Centre St,27
270,Adelphi St & Myrtle Ave,23
274,Lafayette Ave & Fort Greene Pl,31
275,Washington Ave & Greene Ave,19
276,Duane St & Greenwich St,25
278,Concord St & Bridge St,19
279,Peck Slip & Front St,36
280,E 10 St & 5 Ave,31
281,Grand Army Plaza & Central Park S,57
282,Kent Ave & S 11 St,27
285,Broadway & E 14 St,51
289,Monroe St & Classon Ave,19
291,Madison St & Montgomery St,20
293,Lafayette St & E 8 St,55
295,Pike St & E Broadway,24
296,Division St & Bowery,35
297,E 15 St & 3 Ave,27
298,3 Ave & Schermerhorn St,35
301,E 2 St & Avenue B,37
302,Avenue D & E 3 St,23
303,Mercer St & Spring St,31
304,Broadway & Battery Pl,33
305,E 58 St & 3 Ave,33
307,Canal St & Rutgers St,30
308,St James Pl & Oliver St,27
309,Murray St & West St,41
310,State St & Smith St,36
311,Norfolk St & Broome St,31
312,Allen St & Stanton St,31
313,Washington Ave & Park Ave,23
314,Cadman Plaza West & Montague St,39
315,South St & Gouverneur Ln,29
316,Fulton St & William St,43
317,E 6 St & Avenue B,27
319,Fulton St & Broadway,33
320,Leonard St & Church St,27
321,Cadman Plaza E & Red Cross Pl,27
322,Clinton St & Tillary St,31
323,Lawrence St & Willoughby St,39
324,DeKalb Ave & Hudson Ave,51
325,E 19 St & 3 Ave,35
326,E 11 St & 1 Ave,27
327,Vesey Pl & River Terrace,39
328,Watts St & Greenwich St,23
330,Reade St & Broadway,39
331,Pike St & Monroe St,27
332,Cherry St,24
334,W 20 St & 7 Ave,31
335,Washington Pl & Broadway,27
336,Sullivan St & Washington Sq,36
337,Old Slip & Front St,37
339,Avenue D & E 12 St,24
340,Madison St & Clinton St,27
341,Stanton St & Mangin St,19
342,Columbia St & Rivington St,29
343,Clinton Ave & Flushing Ave,23
344,Monroe St & Bedford Ave,23
346,Bank St & Hudson St,27
347,Greenwich St & W Houston St,35
349,Rivington St & Ridge St,23
350,Clinton St & Grand St,28
351,Front St & Maiden Ln,39
353,S Portland Ave & Hanson Pl,27
354,Emerson Pl & Myrtle Ave,23
355,Bayard St & Baxter St,43
356,Bialystoker Pl & Delancey St,23
357,E 11 St & Broadway,27
358,Christopher St & Greenwich St,36
359,E 47 St & Park Ave,53
360,William St & Pine St,39
361,Allen St & Hester St,43
362,Broadway & W 37 St,57
363,West Thames St,49
364,Lafayette Ave & Classon Ave,27
365,Fulton St & Grand Ave,31
366,Clinton Ave & Myrtle Ave,33
368,Carmine St & 6 Ave,39
369,Washington Pl & 6 Ave,35
372,Franklin Ave & Myrtle Ave,15
373,Willoughby Ave & Walworth St,19
376,John St & William St,43
377,6 Ave & Canal St,45
379,W 31 St & 7 Ave,42
380,W 4 St & 7 Ave S,39
382,University Pl & E 14 St,36
383,Greenwich Ave & Charles St,39
385,E 55 St & 2 Ave,29
386,Centre St & Worth St,43
387,Centre St & Chambers St,39
388,W 26 St & 10 Ave,35
389,Broadway & Berry St,27
390,Duffield St & Willoughby St,31
391,Clark St & Henry St,31
392,Jay St & Tech Pl,35
393,E 5 St & Avenue C,31
394,E 9 St & Avenue C,32
396,Lefferts Pl & Franklin Ave,25
397,Fulton St & Clermont Ave,27
398,Atlantic Ave & Furman St,31
399,Lafayette Ave & St James Pl,27
400,Pitt St & Stanton St,15
401,Allen St & Rivington St,42
402,Broadway & E 22 St,39
403,E 2 St & 2 Ave,31
405,Washington St & Gansevoort St,40
406,Hicks St & Montague St,34
407,Henry St & Poplar St,37
408,Market St & Cherry St,23
409,DeKalb Ave & Skillman St,19
410,Suffolk St & Stanton St,35
411,E 6 St & Avenue D,23
412,Forsyth St & Canal St,29
414,Pearl St & Anchorage Pl,24
415,Pearl St & Hanover Square,42
416,Cumberland St & Lafayette Ave,31
417,Barclay St & Church St,23
418,Front St & Gold St,23
419,Carlton Ave & Park Ave,23
420,Clermont Ave & Lafayette Ave,23
421,Clermont Ave & Park Ave,19
422,W 59 St & 10 Ave,55
423,W 54 St & 9 Ave,27
426,West St & Chambers St,29
427,Bus Slip & State St,47
432,E 7 St & Avenue A,31
435,W 21 St & 6 Ave,47
436,Hancock St & Bedford Ave,27
437,Macon St & Nostrand Ave,24
438,St Marks Pl & 1 Ave,41
439,E 4 St & 2 Ave,39
440,E 45 St & 3 Ave,32
441,E 52 St & 2 Ave,35
442,W 27 St & 7 Ave,51
443,Bedford Ave & S 9 St,23
445,E 10 St & Avenue A,52
446,W 24 St & 7 Ave,39
447,8 Ave & W 52 St,23
448,W 37 St & 10 Ave,31
450,W 49 St & 8 Ave,59
453,W 22 St & 8 Ave,39
454,E 51 St & 1 Ave,35
455,1 Ave & E 44 St,39
456,E 53 St & Madison Ave,35
457,Broadway & W 58 St,39
458,11 Ave & W 27 St,31
459,W 20 St & 11 Ave,49
460,S 4 St & Wythe Ave,23
461,E 20 St & 2 Ave,39
462,W 22 St & 10 Ave,47
465,Broadway & W 41 St,39
466,W 25 St & 6 Ave,35
467,Dean St & 4 Ave,34
468,Broadway & W 56 St,49
469,Broadway & W 53 St,57
470,W 20 St & 8 Ave,38
471,Grand St & Havemeyer St,31
472,E 32 St & Park Ave,41
473,Rivington St & Chrystie St,38
474,5 Ave & E 29 St,0
476,E 31 St & 3 Ave,47
477,W 41 St & 8 Ave,59
478,11 Ave & W 41 St,31
479,9 Ave & W 45 St,31
480,W 53 St & 10 Ave,27
481,S 3 St & Bedford Ave,25
482,W 15 St & 7 Ave,39
483,E 12 St & 3 Ave,34
484,W 44 St & 5 Ave,44
485,W 37 St & 5 Ave,39
486,Broadway & W 29 St,39
487,E 20 St & FDR Drive,34
490,8 Ave & W 33 St,59
491,E 24 St & Park Ave S,51
492,W 33 St & 7 Ave,61
493,W 45 St & 6 Ave,34
494,W 26 St & 8 Ave,35
495,W 47 St & 10 Ave,25
496,E 16 St & 5 Ave,47
497,E 17 St & Broadway,59
498,Broadway & W 32 St,30
499,Broadway & W 60 St,36
500,Broadway & W 51 St,52
501,FDR Drive & E 35 St,43
502,Henry St & Grand St,30
503,E 20 St & Park Ave,29
504,1 Ave & E 16 St,44
505,6 Ave & W 33 St,36
507,E 25 St & 2 Ave,45
508,W 46 St & 11 Ave,24
509,9 Ave & W 22 St,36
513,W 56 St & 10 Ave,27
514,12 Ave & W 40 St,52
515,W 43 St & 10 Ave,35
516,E 47 St & 1 Ave,31
517,Pershing Square South,59
518,E 39 St & 2 Ave,39
519,Pershing Square North,61
520,W 52 St & 5 Ave,39
522,E 51 St & Lexington Ave,47
523,W 38 St & 8 Ave,51
524,W 43 St & 6 Ave,57
525,W 34 St & 11 Ave,39
526,E 33 St & 5 Ave,39
528,2 Ave & E 31 St,39
529,W 42 St & 8 Ave,41
530,11 Ave & W 59 St,24
531,Forsyth St & Broome St,39
532,S 5 Pl & S 5 St,43
533,Broadway & W 38 St,46
534,Water - Whitehall Plaza,31
536,1 Ave & E 30 St,29
539,Metropolitan Ave & Bedford Ave,31
540,Lexington Ave & E 29 St,30
545,E 23 St & 1 Ave,27
546,E 30 St & Park Ave S,38
2000,Front St & Washington St,30
2001,Sands St & Navy St,15
2002,Wythe Ave & Metropolitan Ave,27
2003,1 Ave & E 18 St,39
2005,Railroad Ave & Kay Ave,12
2006,Central Park S & 6 Ave,49
2008,Little West St & 1 Pl,24
2009,Catherine St & Monroe St,35
2010,Grand St & Greene St,39
2012,E 27 St & 1 Ave,36
2021,W 45 St & 8 Ave,43
2022,E 60 St & York Ave,33
2023,E 55 St & Lexington Ave,36
3002,South End Ave & Liberty St,25
